,Date,Cases per day,Deaths per day,7 Day Average Positive Test Rate,Tests per day,7 day rolling case average,Total deaths,Total cases
91,06/13,272,2,0.025203854707190512,11309.0,278.14285714285717,692,22486
92,06/14,240,1,0.022881425185911578,9207.0,274.7142857142857,693,22726
3,06/15,174,2,0.016896015980468318,6255.0,270.57142857142856,695,22900
4,06/16,266,9,0.026981596870018835,11149.0,270.0,704,23166
102,06/17,256,9,0.026166313791341166,9662.0,265.85714285714283,713,23422
103,06/18,422,7,0.042315460757208954,10599.0,278.57142857142856,720,23844
105,06/19,278,11,0.02808202375283201,11116.0,272.57142857142856,731,24122
7,06/20,385,14,0.03952482217496517,10197.0,288.7142857142857,745,24507
6,06/21,280,0,0.030140398898952776,6051.0,294.42857142857144,745,24787
5,06/22,249,1,0.02668279166602881,6549.0,305.14285714285717,746,25036
109,06/23,263,5,0.027907470288624787,11794.0,304.7142857142857,751,25299
108,06/24,432,7,0.045558635651440284,10070.0,329.85714285714283,758,25731
106,06/25,464,9,0.04847833549754474,11222.0,335.85714285714283,767,26195
107,06/26,520,0,0.05599138594062452,9127.0,370.42857142857144,767,26715
104,06/27,539,11,0.05903891592470308,9094.0,392.42857142857144,778,27254
110,06/28,457,0,0.04972255467304972,6481.0,417.7142857142857,778,27711
111,06/29,315,0,0.03460723534489524,5927.0,427.14285714285717,778,28026
113,06/30,601,7,0.0650211739977126,12781.0,475.42857142857144,785,28627
120,07/01,540,2,0.05621653777513384,12608.0,490.85714285714283,787,29167
121,07/02,539,7,0.05476370181142592,12878.0,501.57142857142856,794,29706
101,07/03,579,3,0.05793724537202487,10186.0,510.0,797,30285
100,07/04,738,0,0.07632640397145517,6822.0,538.4285714285714,797,31023
98,07/05,522,0,0.055198042236925586,4996.0,547.7142857142857,797,31545
99,07/06,484,0,0.05168021721555288,5286.0,571.8571428571429,797,32029
97,07/07,495,9,0.05300596603946764,12594.0,556.7142857142857,806,32524
131,07/08,598,2,0.0659233361680683,10736.0,565.0,808,33122
130,07/09,754,2,0.08275580921320833,13158.0,595.7142857142857,810,33876
128,07/10,845,5,0.08922376082300057,12702.0,633.7142857142857,815,34721
129,07/11,926,7,0.09066875550768629,12019.0,660.5714285714286,822,35647
139,07/12,769,0,0.07263331174438688,7617.0,695.8571428571429,822,36416
132,07/13,494,0,0.04583349901255186,6621.0,697.2857142857143,822,36910
133,07/14,964,6,0.0870339081423394,14680.0,764.2857142857143,828,37874
134,07/15,821,1,0.07119496543693168,13925.0,796.1428571428571,829,38695
