,Region,Date,New Cases,Estimated Effective R,95% CI Low,95% CI High,one
119,San Francisco,2020-05-31,26,0.948971488438784,0.573794021393361,1.3241489554842099,1
120,San Francisco,2020-06-01,12,0.950595077120029,0.39771930447968,1.5034708497603797,1
121,San Francisco,2020-06-02,17,0.9523946920989041,0.487363933087456,1.4174254511103501,1
122,San Francisco,2020-06-03,26,0.9544092263238659,0.577907365660384,1.3309110869873502,1
123,San Francisco,2020-06-04,31,0.956858930814033,0.61152178403303,1.30219607759504,1
124,San Francisco,2020-06-05,54,0.9601414727451829,0.6979685946686021,1.22231435082176,1
125,San Francisco,2020-06-06,14,0.9647169003269441,0.448328776448518,1.4811050242053703,1
126,San Francisco,2020-06-07,35,0.970994424081903,0.643260211021622,1.29872863714218,1
127,San Francisco,2020-06-08,32,0.979268984673779,0.634905842437861,1.3236321269096998,1
128,San Francisco,2020-06-09,14,0.989728378415926,0.465975736079183,1.5134810207526699,1
129,San Francisco,2020-06-10,16,1.00250379257304,0.509165420893855,1.4958421642522202,1
130,San Francisco,2020-06-11,31,1.01771484997426,0.660442815276417,1.3749868846721003,1
131,San Francisco,2020-06-12,37,1.03546167824846,0.705376920042332,1.36554643645459,1
132,San Francisco,2020-06-13,29,1.0557355176188299,0.678938866588531,1.43253216864913,1
133,San Francisco,2020-06-14,22,1.07829824804851,0.640654277744586,1.5159422183524298,1
134,San Francisco,2020-06-15,24,1.10260400023742,0.678464308581222,1.5267436918936201,1
135,San Francisco,2020-06-16,19,1.1278124656158401,0.64507047515921,1.61055445607247,1
136,San Francisco,2020-06-17,11,1.1528741695789197,0.5102439362619949,1.79550440289584,1
137,San Francisco,2020-06-18,38,1.17664766217579,0.827062088337384,1.5262332360142,1
138,San Francisco,2020-06-19,37,1.1980655240324398,0.8399324397450151,1.55619860831986,1
139,San Francisco,2020-06-20,1,1.2162772476856,-1.01842453577229,3.4509790311434902,1
140,San Francisco,2020-06-21,0,,,,1
141,San Francisco,2020-06-22,127,1.2417741746230702,1.0436317384909202,1.4399166107552201,1
142,San Francisco,2020-06-23,34,1.24969996661186,0.864124457208476,1.6352754760152501,1
143,San Francisco,2020-06-24,30,1.25554210340678,0.842537681528525,1.66854652528503,1
144,San Francisco,2020-06-25,48,1.26043682489526,0.9320118872732851,1.5888617625172299,1
145,San Francisco,2020-06-26,103,1.2656003508842901,1.0399194765246,1.49128122524398,1
146,San Francisco,2020-06-27,68,1.2721511014621598,0.9920361484426059,1.55226605448171,1
147,San Francisco,2020-06-28,44,1.28088931746601,0.929005216934227,1.63277341799779,1
148,San Francisco,2020-06-29,49,1.29212441926095,0.954640373903975,1.6296084646179199,1
149,San Francisco,2020-06-30,42,1.30565953179206,0.935815782078162,1.67550328150597,1
150,San Francisco,2020-07-01,45,1.32089283659165,0.957719211554852,1.6840664616284498,1
151,San Francisco,2020-07-02,71,1.3369513250523102,1.04264432164546,1.63125832845917,1
152,San Francisco,2020-07-03,0,,,,1
153,San Francisco,2020-07-04,62,1.3676591055274998,1.03898235598755,1.6963358550674599,1
154,San Francisco,2020-07-05,80,1.3805851318611801,1.0842571881330099,1.67691307558936,1
155,San Francisco,2020-07-06,131,1.39109052497773,1.1534545906581999,1.6287264592972601,1
156,San Francisco,2020-07-07,28,1.3988192286120802,0.867313519933194,1.93032493729097,1
157,San Francisco,2020-07-08,51,1.4036263127107,0.9978094022366579,1.8094432231847501,1
158,San Francisco,2020-07-09,74,1.40560938525945,1.05670372034833,1.7545150501705602,1
159,San Francisco,2020-07-10,171,1.4052929764699098,1.16668871982173,1.6438972331181,1
160,San Francisco,2020-07-11,110,1.40352397920529,1.09194505333402,1.71510290507656,1
161,San Francisco,2020-07-12,96,1.40116868392326,1.04996382692111,1.75237354092542,1
162,San Francisco,2020-07-13,68,1.39880504331305,0.9563115168177441,1.84129856980836,1
163,San Francisco,2020-07-14,50,1.39658392073997,0.84587438897843,1.94729345250151,1
164,San Francisco,2020-07-15,56,1.39439601735789,0.8373992290792601,1.9513928056365202,1
165,San Francisco,2020-07-16,164,,,,1
