Date,Santa Clara,Alameda,Contra Costa,Marin,San Mateo,San Francisco
2020-05-22,1.0173503058886701,1.11246284640325,1.05215838769762,1.11310708777831,1.06356484174207,0.9447142895357691
2020-05-23,1.0128391970335602,1.10837338731139,1.0506832399227,1.09831875182303,1.05729478893523,0.9406683674756842
2020-05-24,1.0082882089120602,1.10292256746561,1.0515036452144302,1.08561827336711,1.04935272136732,0.9381572789660708
2020-05-25,1.00477239171951,1.09614735943879,1.0550102125688299,1.0754739339322,1.04024452043159,0.937090200689532
2020-05-26,1.00298864057173,1.0881412341652,1.06118367257175,1.0679639231038298,1.03046517155023,0.937018468112386
2020-05-27,1.0031610655943901,1.0790974157286601,1.06965334021041,1.06287816747626,1.0205085051806,0.937412167239084
2020-05-28,1.00515069410212,1.06934210227321,1.07981113529516,1.0599094579016801,1.01084404485888,0.937902079392161
2020-05-29,1.00866365518373,1.0593268256434398,1.09092011871646,1.0588298577220698,1.00185194571685,0.938366507516957
2020-05-30,1.01345629589167,1.0495861739757602,1.1022149482741102,1.0595523625346,0.9937224159415791,0.93886881409402
2020-05-31,1.01941017022425,1.04064210281388,1.1129543443246201,1.06210974105235,0.9864228985644109,0.9395032071256791
2020-06-01,1.02646220984196,1.03289994545626,1.12246513226879,1.06655941946045,0.9797543408596959,0.9402769051068259
2020-06-02,1.03449417732399,1.0266033859532602,1.13017883106871,1.0729284025808001,0.973464662329767,0.941149255551478
2020-06-03,1.04329513251562,1.02188328593624,1.13570206934629,1.08122848219292,0.967378895795554,0.9421513429928728
2020-06-04,1.05263829294048,1.01886017858306,1.13890625204241,1.09152919825124,0.9614965511482081,0.943492896356675
2020-06-05,1.06237661841929,1.01770110998076,1.1399952226221202,1.10404911697364,0.956064365345394,0.9455580196124159
2020-06-06,1.07248149086473,1.01858967951695,1.1395200663165,1.1191524397937,0.9515589889299001,0.948790823295292
2020-06-07,1.08299918229893,1.0216375619962799,1.13827516710816,1.1372669024236899,0.9486342219431031,0.953582790204525
2020-06-08,1.09400727996217,1.0268215143822501,1.13715293703589,1.1587175461061399,0.9480496184346651,0.960210640676269
2020-06-09,1.10560123305588,1.03397702501361,1.13698980229344,1.18355773373149,0.9505783909580201,0.9688428221248699
2020-06-10,1.117877833843,1.0428353466615399,1.1384457812550801,1.21145934305385,0.956864751427587,0.9795895972914341
2020-06-11,1.1309294888137098,1.05308533618254,1.14193682065336,1.24170410923798,0.9672554751731509,0.9925474687319009
2020-06-12,1.14481304557356,1.06439461787315,1.14761804606607,1.2732463920322,0.9816966353317059,1.0077911536009498
2020-06-13,1.15948925107587,,1.15540462608888,1.30478758321033,0.999702243502953,1.02528751973273
2020-06-14,1.1747449512713601,1.08878822386351,1.16499125854424,1.33485624695828,,1.04477803173692
2020-06-15,1.1901614116248602,1.1011688874507901,1.17589010376,1.36189050160611,1.0427667380664398,1.0657045494256299
2020-06-16,1.20517419510425,1.11323747218387,1.1875052566326298,1.3843656242663203,1.0656086629747499,1.08722519149993
2020-06-17,1.21920937015471,1.1246858926188101,1.19924791604091,1.40092895047723,1.08790369393387,1.10829993903503
2020-06-18,1.23183122045522,1.13520327741821,1.21063134778464,1.4105261281700803,1.10877642751672,1.12780932966399
2020-06-19,1.24282407651557,1.14450409262452,1.22132982805578,1.41255667710686,1.12754723711017,1.1447161987077599
2020-06-20,1.2522220622718998,1.1523893526965,1.2311907902507,1.4069579334206204,1.14373565754182,1.15820372070081
2020-06-21,1.26026931393111,,1.2401756830950301,1.3941679466117298,1.15708067740868,
2020-06-22,1.26732378661892,1.1639078225183002,1.2482497856146102,1.37495691773347,1.16754340962707,1.1737040299894599
2020-06-23,1.2737133648291699,1.16793269512357,1.25527856903762,1.3502223374114999,1.1752863146182801,1.1763504827456202
