,Santa Clara,Alameda,Contra Costa,Marin,San Mateo,San Francisco
2020-05-25,1.00784744704282,1.09753175106109,1.05796800519226,1.07650254021724,1.04137352780418,0.938326050122149
2020-05-26,1.00622595828224,1.08960595232937,1.06431262078819,1.06902284322068,1.0316669179036702,0.9383522277327541
2020-05-27,1.00657446590379,1.08064769149917,1.07296837446117,1.06397190345604,1.02178896949135,0.938851934986946
2020-05-28,1.00875418704567,1.07098404283194,1.08332648190928,1.06104252745267,1.01221021274017,0.9394562474841429
2020-05-29,1.01247112421691,1.06106766581368,1.09464889089232,1.06000691187308,1.0033118063109099,0.9400440340514891
2020-05-30,1.01748168721612,1.0514345296349998,1.10616896905573,1.0607784185129698,0.995284851481532,0.9406794771825892
2020-05-31,1.02366785943657,1.04260812427174,1.11714406195621,1.06339043108419,0.988097505775578,0.9414577101971391
2020-06-01,1.03096717187242,1.03499532778082,1.1268996992136298,1.06790114165697,0.9815512884489879,0.9423868457046869
2020-06-02,1.03926183573158,1.02884132170973,1.13486635626333,1.07433843587091,0.975394708155891,0.9434271985009449
2020-06-03,1.04834111304526,1.02427845432959,1.14065020157826,1.08271512364674,0.969453584060921,0.9446110876085051
2020-06-04,1.05797850194378,1.0214289169114101,1.14412323764718,1.0931020684911898,0.963728643561793,0.946149990927756
2020-06-05,1.0680277098628699,1.0204617194938799,1.1454913702928602,1.10571972622503,0.958468523055485,0.948430363348486
2020-06-06,1.0784615563628,1.02156267586216,1.14530948905894,1.1209348510923602,0.95415254675449,0.9518990950818759
2020-06-07,1.08932831350676,1.0248457528302,1.1443773772633798,1.13917836942899,0.9514380370345842,0.956950703000327
2020-06-08,1.10070798597586,1.03028987722437,1.14359399817488,1.16077885065202,0.9510888496544381,0.9638650422033951
2020-06-09,1.11269884189769,1.03773248925267,1.1438029293743601,1.1857930898727,0.953883125951543,0.972813775972954
2020-06-10,1.1254008762907899,1.0469066651788002,1.14567136068616,1.21389596290842,0.9604703174535799,0.9839106490582521
2020-06-11,1.13891007463696,1.05750307189041,1.14962189830447,1.2443714823158,0.9712021258819521,0.997256013015117
2020-06-12,1.15328705721646,1.0691911868723,1.15581571638302,1.2761754494429,0.9860287320411051,1.01292876618925
2020-06-13,1.1684960944770801,,1.16417327805249,1.3080097281494298,1.00446696672047,1.03089988315203
2020-06-14,1.18432656442496,1.09444717361959,1.17439375573552,1.33840208853652,,1.05091410107693
2020-06-15,1.2003610043363602,1.1073151527479,1.18599303181561,1.3657886061113402,1.04854211943584,1.07241521721974
2020-06-16,1.21603520546426,1.11991121916334,1.1983781264725801,1.3886412476207097,1.07196136714135,1.09456159886954
2020-06-17,1.2307753834403798,1.1319294913828601,1.2109635383177701,1.40560298227644,1.09488053391472,1.11631184880246
2020-06-18,1.24414723641914,1.14306138331173,1.22326691484223,1.4156145033898702,1.1164235869767198,1.1365439107772901
2020-06-19,1.2559383403906699,1.15302354804935,1.23496884859436,1.41807011335392,1.13591052657805,1.15421731742074
2020-06-20,1.2661889316554,1.16161995011011,1.24592580593201,1.4129029851685801,1.15286138395098,1.16851260384046
2020-06-21,1.2751520701701,,1.25610988049151,1.40054845514056,1.1670168289308798,
2020-06-22,1.28319684744451,1.1747288986839999,1.26549837603592,1.38177529486009,1.17834129682001,1.1857547706426101
2020-06-23,1.2906633674594399,1.17964744412176,1.2739684508901299,1.3574805385161102,1.18700283502344,1.1893484299898798
2020-06-24,1.29765894942782,1.18378099330076,1.2812309691688002,1.3285769743078701,1.1933142424148702,1.19069285818833
2020-06-25,1.3039364404036,1.1871480705171398,1.2868557628609698,1.29601792107176,1.19758490012768,1.19087571519927
2020-06-26,1.30887346796231,1.1895302142706001,1.2903801723258899,1.26092056664157,1.19997345221111,1.19104207439521
2020-06-27,,1.19059364273429,1.2914634891103602,1.22470100981927,1.2004309028354299,1.1922217420643302
2020-06-28,1.3114218024650601,1.1900952304444299,1.2900284486035902,1.18910081097101,1.19881333187014,1.19512856411018
2020-06-29,,1.18806077399683,1.2862921019295,1.15597907609322,1.19509419204476,1.20001771564355
2020-06-30,1.30103046901045,1.18483492873075,1.2806549293896499,1.1270104542051298,1.18954629730179,1.20668355390001
2020-07-01,1.29175715289365,1.18097223855526,1.2735136605186899,1.10341497539411,1.18281682514309,1.21457631169845
2020-07-02,1.28122993185557,1.1770583321006,1.2651459277326698,1.08587812825884,1.17579644060317,1.2229430126382
2020-07-03,1.2707560423238302,1.1735158163435,1.2557622205003,1.07460962088865,1.16937228709402,
2020-07-04,1.26140530751967,1.1705194926408302,1.24566346583757,,1.1641740095683701,1.23803245552623
2020-07-05,1.25379984253128,1.16802157455494,1.2353758893003302,,,1.2435924104871499
2020-07-06,1.24803019750828,1.1658200699798,1.2256656914258999,1.07391169078302,1.15816455387993,1.24744042511487
2020-07-07,1.24371451002454,1.1636346799610802,1.21741922556583,1.0812632276685898,1.15701804917724,1.24954129634726
2020-07-08,1.24018390464395,1.1611916414386598,1.21144831609043,1.0898413423582098,1.15665561685698,1.25002889739562
2020-07-09,1.2367836209566498,1.1582796428982,1.20831197561941,1.09775648385087,1.15665942691256,1.24922428640265
2020-07-10,1.23313080684788,1.15477041273637,1.20827527059749,1.10310258860231,1.1566308915164398,1.24763956716451
2020-07-11,1.2292199237493602,1.15064313440703,1.21137179875123,1.104137415221,1.1562776348928,1.24585152647005
