,Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Tests,Positive Test Rate,Tests Per Day,New Cases 7 Day Average
87,6/1/20,72898,352,5567,12,462329,15.767559465229304,6672,673.1428571428571
88,6/2/20,73510,612,5667,100,472871,15.545465888159773,10542,696.1428571428571
89,6/3/20,74022,512,5741,74,475391,15.570761751905275,2520,657.8571428571429
90,6/4/20,74560,538,5817,76,491502,15.169826368966964,16111,645.4285714285714
91,6/5/20,75005,445,5886,69,499206,15.024859476849235,7704,523.7142857142857
92,6/6/20,75706,701,5931,45,510828,14.820252609488909,11622,525.0
93,6/7/20,76212,506,5943,12,520385,14.645310683436303,9557,523.7142857142857
94,6/8/20,76563,351,5953,10,527950,14.501941471730278,7565,523.5714285714286
95,6/9/20,77056,493,6014,61,536304,14.36797040484501,8354,506.57142857142856
96,6/10/20,77466,410,6062,48,544430,14.228826479069856,8126,492.0
97,6/11/20,77933,467,6113,51,554372,14.057888926569165,9942,481.8571428571428
98,6/12/20,77999,66,6162,49,566384,13.771398909573715,12012,427.71428571428567
99,6/13/20,78462,463,6211,49,575051,13.644355022424099,8667,393.71428571428567
100,6/14/20,78798,336,6215,4,583233,13.51055238643904,8182,369.4285714285714
101,6/15/20,79121,323,6243,28,593030,13.341820818508337,9797,365.4285714285714
102,6/16/20,79483,362,6276,33,603092,13.179249600392644,10062,346.71428571428567
103,6/17/20,79818,335,6319,43,612831,13.024471673267186,9739,336.0
104,6/18/20,80236,418,6361,42,624068,12.856932257382207,11237,329.0
105,6/19/20,80762,526,6399,38,637218,12.67415546955673,13150,394.71428571428567
106,6/20/20,81266,504,6419,20,647727,12.546335107228815,10509,400.57142857142856
107,6/21/20,81730,464,6423,4,657745,12.425788109373693,10018,418.8571428571428
108,6/22/20,82186,456,6426,3,667848,12.306093602137015,10103,437.8571428571428
109,6/23/20,82696,510,6464,38,679103,12.17723968234568,11255,459.0
110,6/24/20,83191,495,6518,54,691408,12.032114178603662,12305,481.8571428571428
111,6/25/20,83770,579,6557,39,704801,11.885624452859744,13393,504.8571428571428
112,6/26/20,84370,600,6579,22,719081,11.733031466552449,14280,515.4285714285714
113,6/27/20,84370,0,6579,0,719081,11.733031466552449,0,443.4285714285714
114,6/28/20,85496,1126,6579,0,742982,11.507142837915321,23901,538.0
115,6/29/20,85988,492,6614,35,752889,11.421072694646888,9907,543.1428571428571
116,6/30/20,86606,618,6649,35,764187,11.333089937410607,11298,558.5714285714286
117,7/1/20,87242,636,6649,0,776804,11.230889645264444,12617,578.7142857142858
118,7/2/20,88074,832,6712,63,790273,11.144756305732322,13469,614.8571428571429
119,7/3/20,88741,667,6746,34,804144,11.035461310412066,13871,624.4285714285714
120,7/4/20,89375,634,6749,3,814823,10.968639815027313,10679,715.0
121,7/5/20,89854,479,6753,4,824700,10.895355886989208,9877,622.5714285714286
