,County,Date,Total negative tests,Total cases,Deaths per day,Cases per day,Negative tests per day,Tests per day,7 day rolling case average,7 day rolling deaths average,7 day rolling tests average
95,Racine,6/18/2020,19770,2053,0,14,390,404,12.428571428571429,0.7142857142857143,0.03552470396080033
96,Racine,6/19/2020,20616,2066,1,13,846,859,13.0,0.7142857142857143,0.03029294274300932
97,Racine,6/20/2020,21056,2079,1,13,440,453,13.285714285714286,0.5714285714285714,0.029693486590038315
98,Racine,6/21/2020,21212,2081,0,2,156,158,13.142857142857142,0.5714285714285714,0.0300163132137031
99,Racine,6/22/2020,21702,2090,0,9,490,499,14.142857142857142,0.5714285714285714,0.02857142857142857
100,Racine,6/23/2020,22944,2107,2,17,1242,1259,10.571428571428571,0.7142857142857143,0.018984094407388404
101,Racine,6/24/2020,23409,2114,1,7,465,472,10.714285714285714,0.7142857142857143,0.018274853801169586
102,Racine,6/25/2020,23801,2124,0,10,392,402,10.142857142857142,0.7142857142857143,0.017308629936616284
103,Racine,6/26/2020,24143,2144,0,20,342,362,11.142857142857142,0.5714285714285714,0.02163661581137309
104,Racine,6/27/2020,24363,2148,0,4,220,224,9.857142857142858,0.42857142857142855,0.02043838862559242
105,Racine,6/28/2020,24530,2151,0,3,167,170,10.0,0.42857142857142855,0.02066115702479339
106,Racine,6/29/2020,24939,2155,0,4,409,413,9.285714285714286,0.42857142857142855,0.01968503937007874
107,Racine,6/30/2020,25716,2171,2,16,777,793,9.142857142857142,0.42857142857142855,0.02256699576868829
108,Racine,7/1/2020,26250,2176,0,5,534,539,8.857142857142858,0.2857142857142857,0.021357216672407853
109,Racine,7/2/2020,26983,2187,1,11,733,744,9.0,0.42857142857142855,0.019414483821263484
110,Racine,7/3/2020,27301,2194,1,7,318,325,7.142857142857143,0.5714285714285714,0.015586034912718205
111,Racine,7/4/2020,27296,2196,0,2,-5,-3,6.857142857142857,0.5714285714285714,0.0161019792016102
112,Racine,7/5/2020,27443,2217,0,21,147,168,9.428571428571429,0.5714285714285714,0.022155085599194362
113,Racine,7/6/2020,27446,2218,0,1,3,4,9.0,0.5714285714285714,0.0245136186770428
114,Racine,7/7/2020,28773,2253,0,35,1327,1362,11.714285714285714,0.2857142857142857,0.02612296909843899
115,Racine,7/8/2020,29236,2272,0,19,463,482,13.714285714285714,0.2857142857142857,0.03114860480207657
116,Racine,7/9/2020,29625,2294,0,22,389,411,15.285714285714286,0.14285714285714285,0.03892324481629684
117,Racine,7/10/2020,29928,2306,0,12,303,315,16.0,0.0,0.04089083607155897
118,Racine,7/11/2020,30612,2326,0,20,684,704,18.571428571428573,0.0,0.03772489843296576
119,Racine,7/12/2020,30723,2339,0,13,111,124,17.428571428571427,0.0,0.035861258083480306
120,Racine,7/13/2020,30795,2349,0,10,72,82,18.714285714285715,0.0,0.03764367816091954
121,Racine,7/14/2020,31653,2391,0,42,858,900,19.714285714285715,0.0,0.04572564612326044
122,Racine,7/15/2020,32119,2418,0,27,466,493,20.857142857142858,0.0,0.0482007263123143
123,Racine,7/16/2020,32809,2463,1,45,690,735,24.142857142857142,0.14285714285714285,0.05040262451535938
