specimen_collection_date,pos,tests,Positive tests rate,Total tests,7 day average rate,Data Reliability
2020-07-26,80.0,2191.0,3.651300775901415,2191.0,3.6147725456353696,More reliable
2020-07-27,124.0,4979.0,2.4904599317131955,4979.0,3.450607087533709,More reliable
2020-07-28,120.0,4565.0,2.628696604600219,4565.0,3.377549942711242,More reliable
2020-07-29,172.0,4742.0,3.6271615352172075,4742.0,3.4346894054560693,More reliable
2020-07-30,157.0,4659.0,3.3698218501824426,4659.0,3.3965547580892674,More reliable
2020-07-31,157.0,4747.0,3.307352011796924,4747.0,3.374591937806731,More reliable
2020-08-01,93.0,2636.0,3.5280728376327772,2636.0,3.228980792434883,More reliable
2020-08-02,60.0,2161.0,2.776492364645997,2161.0,3.104008162255537,More reliable
2020-08-03,134.0,5075.0,2.6403940886699506,5075.0,3.1254273275350744,More reliable
2020-08-04,109.0,4653.0,2.3425746830002145,4653.0,3.084552767306502,More reliable
2020-08-05,158.0,4584.0,3.446771378708551,4584.0,3.058782744948122,More reliable
2020-08-06,124.0,4593.0,2.6997605051164815,4593.0,2.963059695652985,More reliable
2020-08-07,146.0,4601.0,3.173223212345142,4601.0,2.943898438588445,More reliable
2020-08-08,73.0,2250.0,3.2444444444444445,2250.0,2.9033800967043972,More reliable
2020-08-09,77.0,2076.0,3.7090558766859343,2076.0,3.0366034555672456,More reliable
2020-08-10,116.0,4890.0,2.372188139059305,4890.0,2.998288319908582,More reliable
2020-08-11,127.0,4846.0,2.620718118035493,4846.0,3.0380230963421933,More reliable
2020-08-12,165.0,5225.0,3.1578947368421053,5225.0,2.9967550046469866,More reliable
2020-08-13,130.0,4758.0,2.73224043715847,4758.0,3.001394994938699,More reliable
2020-08-14,136.0,4542.0,2.9942756494936154,4542.0,2.9758310573884814,More reliable
2020-08-15,82.0,2307.0,3.5543996532293023,2307.0,3.0201103729291754,More reliable
2020-08-16,47.0,1907.0,2.464604090194022,1907.0,2.842331546287474,More reliable
2020-08-17,105.0,4589.0,2.288080191762911,4589.0,2.830316125245131,More reliable
2020-08-18,99.0,4918.0,2.013013420089467,4918.0,2.743501168395699,More reliable
2020-08-19,113.0,4525.0,2.4972375690607738,4525.0,2.6491215729983657,More reliable
2020-08-20,95.0,4219.0,2.2517184166864186,4219.0,2.580475570073787,More reliable
2020-08-21,94.0,4304.0,2.184014869888476,4304.0,2.464724030130196,More reliable
2020-08-22,51.0,2361.0,2.1601016518424396,2361.0,2.2655386013606438,More reliable
2020-08-23,49.0,1359.0,3.6055923473142015,1359.0,2.4285369238063836,More reliable
2020-08-24,110.0,4210.0,2.6128266033254155,4210.0,2.474929268315313,More reliable
2020-08-25,100.0,4340.0,2.3041474654377883,4340.0,2.5165198462222165,More reliable
2020-08-26,109.0,5143.0,2.1193855726229827,5143.0,2.4625409895882457,More reliable
2020-08-27,112.0,4753.0,2.3564064801178204,4753.0,2.4774964272213036,More reliable
2020-08-28,85.0,4269.0,1.9910986179433123,4269.0,2.4499369626577088,More reliable
2020-08-29,55.0,2497.0,2.2026431718061676,2497.0,2.456014322652527,More reliable
2020-08-30,43.0,2192.0,1.9616788321167884,2192.0,2.2211695347671823,More reliable
2020-08-31,101.0,5047.0,2.001188825044581,5047.0,2.1337927092984916,More reliable
2020-09-01,98.0,4706.0,2.08244793880153,4706.0,2.1021213483504546,More reliable
2020-09-02,98.0,4716.0,2.0780322307039865,4716.0,2.0962137280763122,More reliable
2020-09-03,100.0,4341.0,2.30361667818475,4341.0,2.088672327800159,More reliable
2020-09-04,86.0,4307.0,1.9967494775946133,4307.0,2.0894795934646306,More reliable
2020-09-05,44.0,2323.0,1.8941024537236333,2323.0,2.045402348024269,More reliable
2020-09-06,38.0,1988.0,1.9114688128772637,1988.0,2.038229488132908,More reliable
2020-09-07,60.0,1266.0,4.739336492890995,1266.0,2.429393440682396,More reliable
2020-09-08,84.0,5142.0,1.633605600933489,5142.0,2.3652731067012476,More reliable
2020-09-09,81.0,4983.0,1.6255267910897049,4983.0,2.3006294724706358,More reliable
2020-09-10,63.0,4594.0,1.3713539399216368,4594.0,2.167449081290191,More reliable
2020-09-11,128.0,3963.0,3.2298763562957356,3963.0,2.34361006396178,More reliable
2020-09-12,61.0,2303.0,2.648719062092922,2303.0,2.4514124365859637,More reliable
2020-09-13,29.0,1958.0,1.481103166496425,1958.0,2.38993162996013,More reliable
2020-09-14,104.0,4502.0,2.3100844069302533,4502.0,2.0428956176800237,More reliable
2020-09-15,94.0,5070.0,1.854043392504931,5070.0,2.0743867307616584,More reliable
2020-09-16,82.0,4767.0,1.7201594294105307,4767.0,2.087905679093205,More reliable
2020-09-17,61.0,4793.0,1.272689338618819,4793.0,2.0738107360499454,More reliable
2020-09-18,106.0,4722.0,2.244811520542143,4722.0,1.9330871880851461,More reliable
2020-09-19,46.0,2255.0,2.0399113082039912,2255.0,1.846114651815299,More reliable
2020-09-20,32.0,1979.0,1.616978271854472,1979.0,1.8655253811521633,"Less reliable, likely to be updated"
2020-09-21,62.0,4997.0,1.2407444466680007,4997.0,1.712762529686127,"Less reliable, likely to be updated"
2020-09-22,54.0,4853.0,1.1127137852874511,4853.0,1.6068583000836298,"Less reliable, likely to be updated"
2020-09-23,62.0,4555.0,1.3611416026344676,4555.0,1.5555700391156206,"Less reliable, likely to be updated"
