,specimen_collection_date,pct,tests,Positive tests rate,Total tests,7 day average rate,Data Reliability
105,2020-06-13,0.012520413718018509,1839.0,1.2520413718018508,1839.0,1.091170574932668,More reliable
106,2020-06-14,0.011417058428475487,1500.0,1.1417058428475486,1500.0,1.0790333143870794,More reliable
107,2020-06-15,0.011565836298932384,3379.0,1.1565836298932384,3379.0,1.0665765337250617,More reliable
108,2020-06-16,0.01853724300640377,2973.0,1.8537243006403772,2973.0,1.1558840868777687,More reliable
109,2020-06-17,0.0179472798653954,3570.0,1.79472798653954,3570.0,1.3265880754342099,More reliable
110,2020-06-18,0.01322271195229453,3861.0,1.322271195229453,3861.0,1.3861448416418887,More reliable
111,2020-06-19,0.015901060070671377,3403.0,1.5901060070671376,3403.0,1.4444514762884495,More reliable
112,2020-06-20,0.03354037267080745,1613.0,3.354037267080745,1613.0,1.7447366041854342,More reliable
113,2020-06-21,0.029874213836477988,1280.0,2.9874213836477987,1280.0,2.008410252871184,More reliable
114,2020-06-22,0.03420052616194096,3435.0,3.4200526161940963,3435.0,2.331762965199878,More reliable
115,2020-06-23,0.02439716312056737,3558.0,2.439716312056737,3558.0,2.41547610968793,More reliable
116,2020-06-24,0.01904761904761905,3893.0,1.9047619047619049,3893.0,2.4311952408625532,More reliable
117,2020-06-25,0.02103395843892549,3957.0,2.103395843892549,3957.0,2.5427844763858523,More reliable
118,2020-06-26,0.02031893004115226,3897.0,2.031893004115226,3897.0,2.6058969045355798,More reliable
119,2020-06-27,0.02830188679245283,2126.0,2.8301886792452833,2126.0,2.5310613919876563,More reliable
120,2020-06-28,0.020387866732968676,2019.0,2.0387866732968676,2019.0,2.3955421476518093,More reliable
121,2020-06-29,0.02328589909443726,3891.0,2.3285899094437257,3891.0,2.2396189038303276,More reliable
122,2020-06-30,0.02586415276770607,4148.0,2.586415276770607,4148.0,2.260575898789452,More reliable
123,2020-07-01,0.02544793560114256,3860.0,2.544793560114256,3860.0,2.3520089924112164,More reliable
124,2020-07-02,0.0304921968787515,4176.0,3.04921968787515,4176.0,2.487126684408731,More reliable
125,2020-07-03,0.041448842419716206,2683.0,4.144884241971621,2683.0,2.788982575531073,More reliable
126,2020-07-04,0.03994490358126722,731.0,3.994490358126722,731.0,2.9553113867998495,More reliable
127,2020-07-05,0.03248511099079589,1858.0,3.2485110990795887,1858.0,3.128129161911667,More reliable
128,2020-07-06,0.024844720496894408,4354.0,2.484472049689441,4354.0,3.1503980390896262,More reliable
129,2020-07-07,0.024644760213143872,4519.0,2.464476021314387,4519.0,3.1329781454530234,More reliable
130,2020-07-08,0.03219954648526077,4418.0,3.2199546485260773,4418.0,3.2294297295118546,More reliable
131,2020-07-09,0.030504587155963308,4371.0,3.050458715596331,4371.0,3.229606733472024,More reliable
132,2020-07-10,0.034420289855072464,4422.0,3.4420289855072466,4422.0,3.129198839691399,More reliable
133,2020-07-11,0.029844472467423288,2381.0,2.9844472467423286,2381.0,2.9849069666364856,More reliable
134,2020-07-12,0.03776290630975143,2096.0,3.776290630975143,2096.0,3.060304042621565,More reliable
135,2020-07-13,0.0340122199592668,4918.0,3.4012219959266803,4918.0,3.1912683206554564,More reliable
136,2020-07-14,0.03541507996953541,5261.0,3.5415079969535412,5261.0,3.3451300314610495,More reliable
137,2020-07-15,0.03607296577167452,4894.0,3.6072965771674523,4894.0,3.400464592695532,More reliable
138,2020-07-16,0.03324518322629392,5304.0,3.324518322629392,5304.0,3.4396159651288265,More reliable
139,2020-07-17,0.04677589852008457,3796.0,4.677589852008457,3796.0,3.6161246603432846,More reliable
140,2020-07-18,0.0440771349862259,2187.0,4.40771349862259,2187.0,3.8194484106118938,More reliable
141,2020-07-19,0.051267281105990783,1739.0,5.126728110599078,1739.0,4.01236805055817,More reliable
142,2020-07-20,0.037888463175819495,4709.0,3.7888463175819496,4709.0,4.06774295365178,More reliable
143,2020-07-21,0.031883445945945936,4774.0,3.1883445945945934,4774.0,4.0172910390290735,More reliable
144,2020-07-22,0.03327378293881197,4578.0,3.3273782938811967,4578.0,3.977302712845322,More reliable
145,2020-07-23,0.03759572986771873,4372.0,3.759572986771873,4372.0,4.039453379151391,More reliable
146,2020-07-24,0.03608247422680412,4151.0,3.608247422680412,4151.0,3.8866901749616707,More reliable
147,2020-07-25,0.0461864406779661,2380.0,4.61864406779661,2380.0,3.9168231134151017,More reliable
148,2020-07-26,0.03746530989824237,2185.0,3.746530989824237,2185.0,3.719652096161553,More reliable
149,2020-07-27,0.025184275184275184,4948.0,2.5184275184275187,4948.0,3.5381636962823486,More reliable
150,2020-07-28,0.026929982046678638,4468.0,2.6929982046678638,4468.0,3.4673999262928157,More reliable
151,2020-07-29,0.03279405334499344,4592.0,3.279405334499344,4592.0,3.4605466463811223,More reliable
152,2020-07-30,0.03407833591502545,4534.0,3.4078335915025453,4534.0,3.4102981613426473,More reliable
153,2020-07-31,0.03390914907229686,4702.0,3.3909149072296865,4702.0,3.379250659135401,More reliable
