,Unnamed: 0,specimen_collection_date,case_disposition,transmission_category,case_count,last_updated_at
161,161,2020-04-30T00:00:00.000,Confirmed,From Contact,19,2020-09-13T14:19:34.977
162,162,2020-04-30T00:00:00.000,Death,From Contact,1,2020-09-13T14:19:34.977
163,163,2020-05-01T00:00:00.000,Confirmed,Community,17,2020-09-13T14:19:34.977
164,164,2020-05-01T00:00:00.000,Death,From Contact,1,2020-09-13T14:19:34.977
165,165,2020-05-01T00:00:00.000,Confirmed,From Contact,17,2020-09-13T14:19:34.977
166,166,2020-05-02T00:00:00.000,Confirmed,From Contact,15,2020-09-13T14:19:34.977
167,167,2020-05-02T00:00:00.000,Confirmed,Community,30,2020-09-13T14:19:34.977
168,168,2020-05-03T00:00:00.000,Confirmed,Unknown,1,2020-09-13T14:19:34.977
169,169,2020-05-03T00:00:00.000,Confirmed,Community,6,2020-09-13T14:19:34.977
170,170,2020-05-03T00:00:00.000,Confirmed,From Contact,6,2020-09-13T14:19:34.977
171,171,2020-05-04T00:00:00.000,Confirmed,From Contact,27,2020-09-13T14:19:34.977
172,172,2020-05-04T00:00:00.000,Confirmed,Community,15,2020-09-13T14:19:34.977
173,173,2020-05-04T00:00:00.000,Confirmed,Unknown,2,2020-09-13T14:19:34.977
174,174,2020-05-05T00:00:00.000,Confirmed,From Contact,25,2020-09-13T14:19:34.977
175,175,2020-05-05T00:00:00.000,Confirmed,Community,18,2020-09-13T14:19:34.977
176,176,2020-05-06T00:00:00.000,Confirmed,Community,28,2020-09-13T14:19:34.977
177,177,2020-05-06T00:00:00.000,Confirmed,From Contact,15,2020-09-13T14:19:34.977
178,178,2020-05-07T00:00:00.000,Confirmed,Community,20,2020-09-13T14:19:34.977
179,179,2020-05-07T00:00:00.000,Confirmed,From Contact,9,2020-09-13T14:19:34.977
180,180,2020-05-08T00:00:00.000,Death,Community,1,2020-09-13T14:19:34.977
181,181,2020-05-08T00:00:00.000,Confirmed,Community,16,2020-09-13T14:19:34.977
182,182,2020-05-08T00:00:00.000,Death,From Contact,2,2020-09-13T14:19:34.977
183,183,2020-05-08T00:00:00.000,Confirmed,From Contact,13,2020-09-13T14:19:34.977
184,184,2020-05-09T00:00:00.000,Confirmed,From Contact,1,2020-09-13T14:19:34.977
185,185,2020-05-09T00:00:00.000,Death,Community,1,2020-09-13T14:19:34.977
186,186,2020-05-09T00:00:00.000,Confirmed,Community,6,2020-09-13T14:19:34.977
187,187,2020-05-09T00:00:00.000,Confirmed,Unknown,1,2020-09-13T14:19:34.977
188,188,2020-05-09T00:00:00.000,Death,From Contact,1,2020-09-13T14:19:34.977
189,189,2020-05-10T00:00:00.000,Confirmed,From Contact,1,2020-09-13T14:19:34.977
190,190,2020-05-10T00:00:00.000,Confirmed,Community,4,2020-09-13T14:19:34.977
191,191,2020-05-11T00:00:00.000,Confirmed,Community,24,2020-09-13T14:19:34.977
192,192,2020-05-11T00:00:00.000,Confirmed,From Contact,5,2020-09-13T14:19:34.977
193,193,2020-05-12T00:00:00.000,Confirmed,From Contact,11,2020-09-13T14:19:34.977
194,194,2020-05-12T00:00:00.000,Death,From Contact,1,2020-09-13T14:19:34.977
195,195,2020-05-12T00:00:00.000,Confirmed,Unknown,24,2020-09-13T14:19:34.977
196,196,2020-05-12T00:00:00.000,Confirmed,Community,17,2020-09-13T14:19:34.977
197,197,2020-05-13T00:00:00.000,Confirmed,Community,18,2020-09-13T14:19:34.977
198,198,2020-05-13T00:00:00.000,Confirmed,From Contact,14,2020-09-13T14:19:34.977
199,199,2020-05-14T00:00:00.000,Confirmed,Community,17,2020-09-13T14:19:34.977
200,200,2020-05-14T00:00:00.000,Confirmed,From Contact,14,2020-09-13T14:19:34.977
201,201,2020-05-14T00:00:00.000,Confirmed,Unknown,3,2020-09-13T14:19:34.977
202,202,2020-05-15T00:00:00.000,Confirmed,Unknown,4,2020-09-13T14:19:34.977
203,203,2020-05-15T00:00:00.000,Confirmed,Community,20,2020-09-13T14:19:34.977
204,204,2020-05-15T00:00:00.000,Confirmed,From Contact,10,2020-09-13T14:19:34.977
205,205,2020-05-15T00:00:00.000,Death,From Contact,1,2020-09-13T14:19:34.977
206,206,2020-05-16T00:00:00.000,Confirmed,Community,4,2020-09-13T14:19:34.977
207,207,2020-05-16T00:00:00.000,Confirmed,From Contact,4,2020-09-13T14:19:34.977
208,208,2020-05-17T00:00:00.000,Death,From Contact,1,2020-09-13T14:19:34.977
209,209,2020-05-17T00:00:00.000,Confirmed,From Contact,4,2020-09-13T14:19:34.977
210,210,2020-05-17T00:00:00.000,Confirmed,Community,6,2020-09-13T14:19:34.977
211,211,2020-05-18T00:00:00.000,Confirmed,Community,22,2020-09-13T14:19:34.977
212,212,2020-05-18T00:00:00.000,Confirmed,From Contact,21,2020-09-13T14:19:34.977
213,213,2020-05-18T00:00:00.000,Confirmed,Unknown,1,2020-09-13T14:19:34.977
214,214,2020-05-19T00:00:00.000,Confirmed,Community,9,2020-09-13T14:19:34.977
215,215,2020-05-19T00:00:00.000,Confirmed,From Contact,22,2020-09-13T14:19:34.977
216,216,2020-05-20T00:00:00.000,Confirmed,Community,23,2020-09-13T14:19:34.977
217,217,2020-05-20T00:00:00.000,Confirmed,From Contact,19,2020-09-13T14:19:34.977
218,218,2020-05-21T00:00:00.000,Confirmed,Community,14,2020-09-13T14:19:34.977
219,219,2020-05-21T00:00:00.000,Confirmed,From Contact,10,2020-09-13T14:19:34.977
220,220,2020-05-22T00:00:00.000,Confirmed,Community,13,2020-09-13T14:19:34.977
221,221,2020-05-22T00:00:00.000,Confirmed,Unknown,1,2020-09-13T14:19:34.977
222,222,2020-05-22T00:00:00.000,Confirmed,From Contact,19,2020-09-13T14:19:34.977
223,223,2020-05-23T00:00:00.000,Confirmed,From Contact,9,2020-09-13T14:19:34.977
224,224,2020-05-23T00:00:00.000,Confirmed,Community,7,2020-09-13T14:19:34.977
225,225,2020-05-23T00:00:00.000,Confirmed,Unknown,1,2020-09-13T14:19:34.977
226,226,2020-05-24T00:00:00.000,Confirmed,Community,6,2020-09-13T14:19:34.977
227,227,2020-05-24T00:00:00.000,Confirmed,Unknown,1,2020-09-13T14:19:34.977
228,228,2020-05-24T00:00:00.000,Confirmed,From Contact,4,2020-09-13T14:19:34.977
229,229,2020-05-25T00:00:00.000,Confirmed,From Contact,4,2020-09-13T14:19:34.977
230,230,2020-05-25T00:00:00.000,Confirmed,Community,5,2020-09-13T14:19:34.977
231,231,2020-05-26T00:00:00.000,Confirmed,From Contact,24,2020-09-13T14:19:34.977
232,232,2020-05-26T00:00:00.000,Confirmed,Unknown,1,2020-09-13T14:19:34.977
233,233,2020-05-26T00:00:00.000,Confirmed,Community,22,2020-09-13T14:19:34.977
234,234,2020-05-26T00:00:00.000,Death,From Contact,1,2020-09-13T14:19:34.977
235,235,2020-05-27T00:00:00.000,Confirmed,From Contact,17,2020-09-13T14:19:34.977
236,236,2020-05-27T00:00:00.000,Confirmed,Community,16,2020-09-13T14:19:34.977
237,237,2020-05-27T00:00:00.000,Confirmed,Unknown,1,2020-09-13T14:19:34.977
