,specimen_collection_date,case_disposition,transmission_category,case_count,last_updated_at
166,2020-05-02T00:00:00.000,Confirmed,From Contact,15,2020-09-24T14:20:21.067
167,2020-05-02T00:00:00.000,Confirmed,Community,30,2020-09-24T14:20:21.067
168,2020-05-03T00:00:00.000,Confirmed,Community,6,2020-09-24T14:20:21.067
169,2020-05-03T00:00:00.000,Confirmed,Unknown,1,2020-09-24T14:20:21.067
170,2020-05-03T00:00:00.000,Confirmed,From Contact,6,2020-09-24T14:20:21.067
171,2020-05-04T00:00:00.000,Confirmed,Community,15,2020-09-24T14:20:21.067
172,2020-05-04T00:00:00.000,Confirmed,From Contact,27,2020-09-24T14:20:21.067
173,2020-05-04T00:00:00.000,Confirmed,Unknown,2,2020-09-24T14:20:21.067
174,2020-05-05T00:00:00.000,Confirmed,From Contact,25,2020-09-24T14:20:21.067
175,2020-05-05T00:00:00.000,Confirmed,Community,18,2020-09-24T14:20:21.067
176,2020-05-06T00:00:00.000,Confirmed,From Contact,15,2020-09-24T14:20:21.067
177,2020-05-06T00:00:00.000,Confirmed,Community,28,2020-09-24T14:20:21.067
178,2020-05-07T00:00:00.000,Confirmed,From Contact,9,2020-09-24T14:20:21.067
179,2020-05-07T00:00:00.000,Confirmed,Community,20,2020-09-24T14:20:21.067
180,2020-05-08T00:00:00.000,Confirmed,From Contact,13,2020-09-24T14:20:21.067
181,2020-05-08T00:00:00.000,Death,From Contact,2,2020-09-24T14:20:21.067
182,2020-05-08T00:00:00.000,Death,Community,1,2020-09-24T14:20:21.067
183,2020-05-08T00:00:00.000,Confirmed,Community,16,2020-09-24T14:20:21.067
184,2020-05-09T00:00:00.000,Confirmed,From Contact,1,2020-09-24T14:20:21.067
185,2020-05-09T00:00:00.000,Death,Community,1,2020-09-24T14:20:21.067
186,2020-05-09T00:00:00.000,Confirmed,Unknown,1,2020-09-24T14:20:21.067
187,2020-05-09T00:00:00.000,Death,From Contact,1,2020-09-24T14:20:21.067
188,2020-05-09T00:00:00.000,Confirmed,Community,6,2020-09-24T14:20:21.067
189,2020-05-10T00:00:00.000,Confirmed,Community,4,2020-09-24T14:20:21.067
190,2020-05-10T00:00:00.000,Confirmed,From Contact,1,2020-09-24T14:20:21.067
191,2020-05-11T00:00:00.000,Confirmed,From Contact,5,2020-09-24T14:20:21.067
192,2020-05-11T00:00:00.000,Confirmed,Community,24,2020-09-24T14:20:21.067
193,2020-05-12T00:00:00.000,Confirmed,Community,17,2020-09-24T14:20:21.067
194,2020-05-12T00:00:00.000,Confirmed,From Contact,11,2020-09-24T14:20:21.067
195,2020-05-12T00:00:00.000,Death,From Contact,1,2020-09-24T14:20:21.067
196,2020-05-12T00:00:00.000,Confirmed,Unknown,24,2020-09-24T14:20:21.067
197,2020-05-13T00:00:00.000,Confirmed,Community,18,2020-09-24T14:20:21.067
198,2020-05-13T00:00:00.000,Confirmed,From Contact,14,2020-09-24T14:20:21.067
199,2020-05-14T00:00:00.000,Confirmed,From Contact,14,2020-09-24T14:20:21.067
200,2020-05-14T00:00:00.000,Confirmed,Community,17,2020-09-24T14:20:21.067
201,2020-05-14T00:00:00.000,Confirmed,Unknown,3,2020-09-24T14:20:21.067
202,2020-05-15T00:00:00.000,Confirmed,From Contact,10,2020-09-24T14:20:21.067
203,2020-05-15T00:00:00.000,Confirmed,Community,20,2020-09-24T14:20:21.067
204,2020-05-15T00:00:00.000,Confirmed,Unknown,4,2020-09-24T14:20:21.067
205,2020-05-15T00:00:00.000,Death,From Contact,1,2020-09-24T14:20:21.067
206,2020-05-16T00:00:00.000,Confirmed,Community,4,2020-09-24T14:20:21.067
207,2020-05-16T00:00:00.000,Confirmed,From Contact,4,2020-09-24T14:20:21.067
208,2020-05-17T00:00:00.000,Death,From Contact,2,2020-09-24T14:20:21.067
209,2020-05-17T00:00:00.000,Confirmed,From Contact,4,2020-09-24T14:20:21.067
210,2020-05-17T00:00:00.000,Confirmed,Community,6,2020-09-24T14:20:21.067
211,2020-05-18T00:00:00.000,Confirmed,From Contact,21,2020-09-24T14:20:21.067
212,2020-05-18T00:00:00.000,Confirmed,Unknown,1,2020-09-24T14:20:21.067
213,2020-05-18T00:00:00.000,Confirmed,Community,22,2020-09-24T14:20:21.067
214,2020-05-19T00:00:00.000,Confirmed,From Contact,22,2020-09-24T14:20:21.067
215,2020-05-19T00:00:00.000,Confirmed,Community,9,2020-09-24T14:20:21.067
216,2020-05-20T00:00:00.000,Confirmed,Community,23,2020-09-24T14:20:21.067
217,2020-05-20T00:00:00.000,Confirmed,From Contact,19,2020-09-24T14:20:21.067
218,2020-05-21T00:00:00.000,Confirmed,Community,14,2020-09-24T14:20:21.067
219,2020-05-21T00:00:00.000,Confirmed,From Contact,10,2020-09-24T14:20:21.067
220,2020-05-22T00:00:00.000,Confirmed,Unknown,1,2020-09-24T14:20:21.067
221,2020-05-22T00:00:00.000,Confirmed,From Contact,19,2020-09-24T14:20:21.067
222,2020-05-22T00:00:00.000,Confirmed,Community,12,2020-09-24T14:20:21.067
223,2020-05-23T00:00:00.000,Confirmed,From Contact,9,2020-09-24T14:20:21.067
224,2020-05-23T00:00:00.000,Confirmed,Unknown,1,2020-09-24T14:20:21.067
225,2020-05-23T00:00:00.000,Confirmed,Community,7,2020-09-24T14:20:21.067
226,2020-05-24T00:00:00.000,Confirmed,From Contact,4,2020-09-24T14:20:21.067
227,2020-05-24T00:00:00.000,Confirmed,Community,7,2020-09-24T14:20:21.067
228,2020-05-25T00:00:00.000,Confirmed,From Contact,4,2020-09-24T14:20:21.067
229,2020-05-25T00:00:00.000,Confirmed,Community,5,2020-09-24T14:20:21.067
230,2020-05-26T00:00:00.000,Confirmed,Unknown,1,2020-09-24T14:20:21.067
231,2020-05-26T00:00:00.000,Death,From Contact,1,2020-09-24T14:20:21.067
232,2020-05-26T00:00:00.000,Confirmed,From Contact,24,2020-09-24T14:20:21.067
233,2020-05-26T00:00:00.000,Confirmed,Community,22,2020-09-24T14:20:21.067
234,2020-05-27T00:00:00.000,Confirmed,Community,16,2020-09-24T14:20:21.067
235,2020-05-27T00:00:00.000,Confirmed,From Contact,17,2020-09-24T14:20:21.067
236,2020-05-27T00:00:00.000,Confirmed,Unknown,1,2020-09-24T14:20:21.067
237,2020-05-28T00:00:00.000,Confirmed,Community,13,2020-09-24T14:20:21.067
238,2020-05-28T00:00:00.000,Confirmed,From Contact,10,2020-09-24T14:20:21.067
239,2020-05-28T00:00:00.000,Confirmed,Unknown,1,2020-09-24T14:20:21.067
240,2020-05-29T00:00:00.000,Confirmed,Community,13,2020-09-24T14:20:21.067
241,2020-05-29T00:00:00.000,Death,Community,1,2020-09-24T14:20:21.067
242,2020-05-29T00:00:00.000,Confirmed,From Contact,17,2020-09-24T14:20:21.067
243,2020-05-30T00:00:00.000,Confirmed,Community,12,2020-09-24T14:20:21.067
244,2020-05-30T00:00:00.000,Confirmed,From Contact,10,2020-09-24T14:20:21.067
245,2020-05-31T00:00:00.000,Death,From Contact,1,2020-09-24T14:20:21.067
246,2020-05-31T00:00:00.000,Confirmed,Unknown,1,2020-09-24T14:20:21.067
247,2020-05-31T00:00:00.000,Confirmed,Community,15,2020-09-24T14:20:21.067
248,2020-05-31T00:00:00.000,Confirmed,From Contact,10,2020-09-24T14:20:21.067
249,2020-06-01T00:00:00.000,Confirmed,Community,18,2020-09-24T14:20:21.067
250,2020-06-01T00:00:00.000,Confirmed,From Contact,19,2020-09-24T14:20:21.067
251,2020-06-01T00:00:00.000,Confirmed,Unknown,1,2020-09-24T14:20:21.067
252,2020-06-02T00:00:00.000,Confirmed,Community,17,2020-09-24T14:20:21.067
253,2020-06-02T00:00:00.000,Confirmed,From Contact,24,2020-09-24T14:20:21.067
254,2020-06-02T00:00:00.000,Confirmed,Unknown,5,2020-09-24T14:20:21.067
255,2020-06-03T00:00:00.000,Confirmed,Community,15,2020-09-24T14:20:21.067
256,2020-06-03T00:00:00.000,Confirmed,From Contact,11,2020-09-24T14:20:21.067
257,2020-06-03T00:00:00.000,Confirmed,Unknown,1,2020-09-24T14:20:21.067
258,2020-06-04T00:00:00.000,Confirmed,From Contact,19,2020-09-24T14:20:21.067
259,2020-06-04T00:00:00.000,Confirmed,Unknown,2,2020-09-24T14:20:21.067
260,2020-06-04T00:00:00.000,Confirmed,Community,17,2020-09-24T14:20:21.067
261,2020-06-05T00:00:00.000,Confirmed,Community,14,2020-09-24T14:20:21.067
262,2020-06-05T00:00:00.000,Confirmed,From Contact,11,2020-09-24T14:20:21.067
263,2020-06-05T00:00:00.000,Death,Community,1,2020-09-24T14:20:21.067
264,2020-06-05T00:00:00.000,Confirmed,Unknown,5,2020-09-24T14:20:21.067
265,2020-06-06T00:00:00.000,Confirmed,From Contact,10,2020-09-24T14:20:21.067
266,2020-06-06T00:00:00.000,Confirmed,Community,6,2020-09-24T14:20:21.067
267,2020-06-07T00:00:00.000,Confirmed,Community,13,2020-09-24T14:20:21.067
268,2020-06-07T00:00:00.000,Confirmed,From Contact,4,2020-09-24T14:20:21.067
269,2020-06-08T00:00:00.000,Confirmed,Community,17,2020-09-24T14:20:21.067
270,2020-06-08T00:00:00.000,Confirmed,From Contact,19,2020-09-24T14:20:21.067
271,2020-06-09T00:00:00.000,Confirmed,Community,21,2020-09-24T14:20:21.067
272,2020-06-09T00:00:00.000,Confirmed,From Contact,12,2020-09-24T14:20:21.067
273,2020-06-10T00:00:00.000,Confirmed,From Contact,4,2020-09-24T14:20:21.067
274,2020-06-10T00:00:00.000,Confirmed,Community,11,2020-09-24T14:20:21.067
275,2020-06-10T00:00:00.000,Confirmed,Unknown,1,2020-09-24T14:20:21.067
276,2020-06-11T00:00:00.000,Confirmed,From Contact,10,2020-09-24T14:20:21.067
277,2020-06-11T00:00:00.000,Confirmed,Community,13,2020-09-24T14:20:21.067
278,2020-06-12T00:00:00.000,Confirmed,Community,19,2020-09-24T14:20:21.067
279,2020-06-12T00:00:00.000,Death,Community,1,2020-09-24T14:20:21.067
280,2020-06-12T00:00:00.000,Confirmed,From Contact,7,2020-09-24T14:20:21.067
281,2020-06-12T00:00:00.000,Confirmed,Unknown,1,2020-09-24T14:20:21.067
282,2020-06-13T00:00:00.000,Death,From Contact,1,2020-09-24T14:20:21.067
283,2020-06-13T00:00:00.000,Confirmed,Community,15,2020-09-24T14:20:21.067
284,2020-06-13T00:00:00.000,Confirmed,From Contact,5,2020-09-24T14:20:21.067
285,2020-06-14T00:00:00.000,Confirmed,Community,8,2020-09-24T14:20:21.067
286,2020-06-14T00:00:00.000,Confirmed,From Contact,7,2020-09-24T14:20:21.067
287,2020-06-15T00:00:00.000,Confirmed,From Contact,20,2020-09-24T14:20:21.067
288,2020-06-15T00:00:00.000,Confirmed,Community,15,2020-09-24T14:20:21.067
289,2020-06-16T00:00:00.000,Confirmed,From Contact,21,2020-09-24T14:20:21.067
290,2020-06-16T00:00:00.000,Confirmed,Community,27,2020-09-24T14:20:21.067
291,2020-06-17T00:00:00.000,Confirmed,From Contact,21,2020-09-24T14:20:21.067
292,2020-06-17T00:00:00.000,Confirmed,Unknown,1,2020-09-24T14:20:21.067
293,2020-06-17T00:00:00.000,Confirmed,Community,29,2020-09-24T14:20:21.067
294,2020-06-18T00:00:00.000,Confirmed,From Contact,10,2020-09-24T14:20:21.067
295,2020-06-18T00:00:00.000,Death,Community,1,2020-09-24T14:20:21.067
296,2020-06-18T00:00:00.000,Confirmed,Community,35,2020-09-24T14:20:21.067
297,2020-06-19T00:00:00.000,Confirmed,From Contact,17,2020-09-24T14:20:21.067
298,2020-06-19T00:00:00.000,Confirmed,Unknown,1,2020-09-24T14:20:21.067
299,2020-06-19T00:00:00.000,Confirmed,Community,25,2020-09-24T14:20:21.067
300,2020-06-20T00:00:00.000,Confirmed,From Contact,14,2020-09-24T14:20:21.067
301,2020-06-20T00:00:00.000,Confirmed,Community,27,2020-09-24T14:20:21.067
302,2020-06-21T00:00:00.000,Confirmed,Community,17,2020-09-24T14:20:21.067
303,2020-06-21T00:00:00.000,Confirmed,From Contact,15,2020-09-24T14:20:21.067
304,2020-06-22T00:00:00.000,Confirmed,Unknown,3,2020-09-24T14:20:21.067
305,2020-06-22T00:00:00.000,Confirmed,From Contact,34,2020-09-24T14:20:21.067
306,2020-06-22T00:00:00.000,Confirmed,Community,69,2020-09-24T14:20:21.067
307,2020-06-23T00:00:00.000,Confirmed,From Contact,25,2020-09-24T14:20:21.067
308,2020-06-23T00:00:00.000,Confirmed,Unknown,7,2020-09-24T14:20:21.067
309,2020-06-23T00:00:00.000,Confirmed,Community,46,2020-09-24T14:20:21.067
310,2020-06-24T00:00:00.000,Confirmed,From Contact,27,2020-09-24T14:20:21.067
311,2020-06-24T00:00:00.000,Confirmed,Unknown,7,2020-09-24T14:20:21.067
312,2020-06-24T00:00:00.000,Confirmed,Community,26,2020-09-24T14:20:21.067
313,2020-06-25T00:00:00.000,Confirmed,Community,40,2020-09-24T14:20:21.067
314,2020-06-25T00:00:00.000,Confirmed,Unknown,1,2020-09-24T14:20:21.067
315,2020-06-25T00:00:00.000,Confirmed,From Contact,24,2020-09-24T14:20:21.067
316,2020-06-26T00:00:00.000,Confirmed,Community,39,2020-09-24T14:20:21.067
