,Unnamed: 0,County,Date,Total negative tests,Total cases,Deaths per day,Cases per day,Negative tests per day,Tests per day,Total deaths,7 day rolling case average,7 day rolling deaths average,7 day rolling tests average
123,123,Racine,7/16/2020,32809,2463,1,45,690,735,66,24.142857142857146,0.14285714285714285,0.05040262451535938
124,124,Racine,7/17/2020,33227,2519,0,56,418,474,66,30.42857142857143,0.14285714285714285,0.06064920273348519
125,125,Racine,7/18/2020,33928,2564,0,45,701,746,66,34.0,0.14285714285714285,0.06696679797411367
126,126,Racine,7/19/2020,34091,2589,0,25,163,188,66,35.714285714285715,0.14285714285714285,0.06909894969596461
127,127,Racine,7/20/2020,34091,2624,0,35,0,35,66,39.285714285714285,0.14285714285714285,0.07700924110893306
128,128,Racine,7/21/2020,35010,2715,3,91,919,1010,69,46.28571428571429,0.5714285714285714,0.08801955990220048
129,129,Racine,7/22/2020,36069,2739,0,24,1059,1083,69,45.85714285714285,0.5714285714285714,0.0751580426129712
130,130,Racine,7/23/2020,37304,2794,0,55,1235,1290,69,47.28571428571429,0.42857142857142855,0.06858682138416908
131,131,Racine,7/24/2020,37982,2839,0,45,678,723,69,45.714285714285715,0.42857142857142855,0.06305418719211822
132,132,Racine,7/25/2020,38434,2881,3,42,452,494,72,45.28571428571429,0.8571428571428571,0.06572672610408459
133,133,Racine,7/26/2020,38728,2906,0,25,294,319,72,45.28571428571429,0.8571428571428571,0.06398869600322972
134,134,Racine,7/27/2020,38745,2951,0,45,17,62,72,46.714285714285715,0.8571428571428571,0.06564946797831761
135,135,Racine,7/28/2020,39436,2984,1,33,691,724,73,38.42857142857143,0.5714285714285714,0.05729499467518636
136,136,Racine,7/29/2020,40335,3011,2,27,899,926,75,38.857142857142854,0.8571428571428571,0.059938298810048474
137,137,Racine,7/30/2020,40861,3058,0,47,526,573,75,37.714285714285715,0.8571428571428571,0.06909186076943208
138,138,Racine,7/31/2020,41244,3095,2,37,383,420,77,36.57142857142857,1.1428571428571428,0.07276861853325753
139,139,Racine,8/1/2020,41962,3191,-1,96,718,814,76,44.28571428571429,0.5714285714285714,0.08077123501823866
140,140,Racine,8/2/2020,42040,3245,0,54,78,132,76,48.42857142857143,0.5714285714285714,0.09285127362366476
141,141,Racine,8/3/2020,42041,3249,0,4,1,5,76,42.57142857142857,0.5714285714285714,0.08291597106288258
142,142,Racine,8/4/2020,42985,3311,1,62,944,1006,77,46.714285714285715,0.5714285714285714,0.08436532507739937
143,143,Racine,8/5/2020,43801,3343,1,32,816,848,78,47.42857142857143,0.42857142857142855,0.08741442864665615
144,144,Racine,8/6/2020,44658,3364,0,21,857,878,78,43.714285714285715,0.42857142857142855,0.0745795759200585
145,145,Racine,8/7/2020,45549,3459,0,95,891,986,78,52.0,0.14285714285714285,0.07796101949025487
146,146,Racine,8/8/2020,46166,3499,0,40,617,657,78,44.0,0.2857142857142857,0.06826241134751773
147,147,Racine,8/9/2020,46279,3514,0,15,113,128,78,38.42857142857143,0.2857142857142857,0.059671694764862476
148,148,Racine,8/10/2020,46566,3526,0,12,287,299,78,39.57142857142857,0.2857142857142857,0.05768429820907955
149,149,Racine,8/11/2020,47090,3567,1,41,524,565,79,36.57142857142857,0.2857142857142857,0.05870213253840863
150,150,Racine,8/12/2020,47234,3571,-1,4,144,148,78,32.57142857142857,0.0,0.06227806610215787
151,151,Racine,8/13/2020,48217,3599,0,28,983,1011,78,33.57142857142857,0.0,0.061939905113336836
152,152,Racine,8/14/2020,48773,3643,0,44,556,600,78,26.285714285714285,0.0,0.0539906103286385
153,153,Racine,8/15/2020,49078,3665,3,22,305,327,81,23.714285714285715,0.42857142857142855,0.053931124106562714
154,154,Racine,8/16/2020,49191,3676,0,11,113,124,81,23.142857142857146,0.42857142857142855,0.05270006506180872
155,155,Racine,8/17/2020,49204,3689,0,13,13,26,81,23.285714285714285,0.42857142857142855,0.05819350232059978
156,156,Racine,8/18/2020,49830,3723,2,34,626,660,83,22.285714285714285,0.5714285714285714,0.05386740331491712
157,157,Racine,8/19/2020,50203,3745,1,22,373,395,84,24.857142857142854,0.8571428571428571,0.05536111994909322
158,158,Racine,8/20/2020,50694,3762,1,17,491,508,85,23.285714285714285,1.0,0.06174242424242424
159,159,Racine,8/21/2020,51286,3794,0,32,592,624,85,21.571428571428577,1.0,0.05668168168168169
160,160,Racine,8/22/2020,51746,3826,0,32,460,492,85,23.0,0.5714285714285714,0.05691056910569105
161,161,Racine,8/23/2020,51794,3840,0,14,48,62,85,23.42857142857143,0.5714285714285714,0.05926996747379834
162,162,Racine,8/24/2020,51796,3840,0,0,2,2,85,21.571428571428577,0.5714285714285714,0.05504921618665695
163,163,Racine,8/25/2020,52300,3867,1,27,504,531,86,20.571428571428573,0.42857142857142855,0.05508798775822495
164,164,Racine,8/26/2020,52878,3897,0,30,578,608,86,21.714285714285715,0.2857142857142857,0.053767244428723035
165,165,Racine,8/27/2020,53555,3931,3,34,677,711,89,24.142857142857146,0.5714285714285714,0.05577557755775578
166,166,Racine,8/28/2020,53830,3960,0,29,275,304,89,23.714285714285715,0.5714285714285714,0.061254612546125464
167,167,Racine,8/29/2020,54442,3988,0,28,612,640,89,23.142857142857146,0.5714285714285714,0.05668299510146956
168,168,Racine,8/30/2020,54553,3998,0,10,111,121,89,22.57142857142857,0.5714285714285714,0.054165238258484745
169,169,Racine,8/31/2020,54559,4006,0,8,6,14,89,23.714285714285715,0.5714285714285714,0.05667463298053944
170,170,Racine,9/1/2020,55121,4026,1,20,562,582,90,22.714285714285715,0.5714285714285714,0.053355704697986575
171,171,Racine,9/2/2020,55240,4049,1,23,119,142,91,21.714285714285715,0.7142857142857143,0.06046141607000796
172,172,Racine,9/3/2020,55665,4063,0,14,425,439,91,18.857142857142858,0.2857142857142857,0.05887600356824264
173,173,Racine,9/4/2020,56318,4129,0,66,653,719,91,24.142857142857146,0.2857142857142857,0.0636055701919458
174,174,Racine,9/5/2020,56631,4147,0,18,313,331,91,22.714285714285715,0.2857142857142857,0.06771720613287904
175,175,Racine,9/6/2020,56796,4154,0,7,165,172,91,22.285714285714285,0.2857142857142857,0.06502709462275948
176,176,Racine,9/7/2020,56937,4158,0,4,141,145,91,21.714285714285715,0.2857142857142857,0.06007905138339921
177,177,Racine,9/8/2020,57017,4158,0,0,80,80,91,18.857142857142858,0.14285714285714285,0.0650887573964497
178,178,Racine,9/9/2020,57621,4193,1,35,604,639,92,20.571428571428573,0.14285714285714285,0.057029702970297025
179,179,Racine,9/10/2020,57918,4213,0,20,297,317,92,21.428571428571427,0.14285714285714285,0.062421972534332085
